# Real monthly US AQI from Open-Meteo Air-Quality archive (no key).
# Delhi, 2023-01..2026-06. zone = H3 res-7 cell id.
zone,lat,lon,month,aqi
873da1052ffffff,28.46049,77.33384,24,203.2
873da1052ffffff,28.46049,77.33384,25,160.1
873da1052ffffff,28.46049,77.33384,26,848.6
873da1052ffffff,28.46049,77.33384,27,843.7
873da1052ffffff,28.46049,77.33384,28,894.8
873da1052ffffff,28.46049,77.33384,29,530.9
873da1052ffffff,28.46049,77.33384,30,149.1
873da1052ffffff,28.46049,77.33384,31,269.0
873da1052ffffff,28.46049,77.33384,32,130.1
873da1052ffffff,28.46049,77.33384,33,165.1
873da1052ffffff,28.46049,77.33384,34,190.9
873da1052ffffff,28.46049,77.33384,35,210.2
873da1052ffffff,28.46049,77.33384,36,202.5
873da1052ffffff,28.46049,77.33384,37,172.7
873da1052ffffff,28.46049,77.33384,38,671.3
873da1052ffffff,28.46049,77.33384,39,798.9
873da1052ffffff,28.46049,77.33384,40,1050.4
873da1052ffffff,28.46049,77.33384,41,622.1
873da1054ffffff,28.49499,77.31629,0,205.6
873da1054ffffff,28.49499,77.31629,1,169.2
873da1054ffffff,28.49499,77.31629,2,158.1
873da1054ffffff,28.49499,77.31629,3,130.9
873da1054ffffff,28.49499,77.31629,4,140.5
873da1054ffffff,28.49499,77.31629,5,125.9
873da1054ffffff,28.49499,77.31629,6,111.0
873da1054ffffff,28.49499,77.31629,7,154.4
873da1054ffffff,28.49499,77.31629,8,126.2
873da1054ffffff,28.49499,77.31629,9,138.6
873da1054ffffff,28.49499,77.31629,10,184.4
873da1054ffffff,28.49499,77.31629,11,189.6
873da1054ffffff,28.49499,77.31629,12,207.6
873da1054ffffff,28.49499,77.31629,13,151.1
873da1054ffffff,28.49499,77.31629,14,146.2
873da1054ffffff,28.49499,77.31629,15,145.9
873da1054ffffff,28.49499,77.31629,16,222.1
873da1054ffffff,28.49499,77.31629,17,250.3
873da1054ffffff,28.49499,77.31629,18,130.3
873da1054ffffff,28.49499,77.31629,19,100.3
873da1054ffffff,28.49499,77.31629,20,126.8
873da1054ffffff,28.49499,77.31629,21,158.7
873da1054ffffff,28.49499,77.31629,22,197.8
873da1054ffffff,28.49499,77.31629,23,185.2
873da1054ffffff,28.49499,77.31629,24,203.2
873da1054ffffff,28.49499,77.31629,25,160.1
873da1054ffffff,28.49499,77.31629,26,848.6
873da1054ffffff,28.49499,77.31629,27,843.7
873da1054ffffff,28.49499,77.31629,28,894.8
873da1054ffffff,28.49499,77.31629,29,530.9
873da1054ffffff,28.49499,77.31629,30,149.1
873da1054ffffff,28.49499,77.31629,31,269.0
873da1054ffffff,28.49499,77.31629,32,130.1
873da1054ffffff,28.49499,77.31629,33,165.1
873da1054ffffff,28.49499,77.31629,34,190.9
873da1054ffffff,28.49499,77.31629,35,210.2
873da1054ffffff,28.49499,77.31629,36,202.5
873da1054ffffff,28.49499,77.31629,37,172.7
873da1054ffffff,28.49499,77.31629,38,671.3
873da1054ffffff,28.49499,77.31629,39,798.9
873da1054ffffff,28.49499,77.31629,40,1050.4
873da1054ffffff,28.49499,77.31629,41,622.1
873da1055ffffff,28.50394,77.34025,0,205.6
873da1055ffffff,28.50394,77.34025,1,169.2
873da1055ffffff,28.50394,77.34025,2,158.1
873da1055ffffff,28.50394,77.34025,3,130.9
873da1055ffffff,28.50394,77.34025,4,140.5
873da1055ffffff,28.50394,77.34025,5,125.9
873da1055ffffff,28.50394,77.34025,6,111.0
873da1055ffffff,28.50394,77.34025,7,154.4
873da1055ffffff,28.50394,77.34025,8,126.2
873da1055ffffff,28.50394,77.34025,9,138.6
873da1055ffffff,28.50394,77.34025,10,184.4
873da1055ffffff,28.50394,77.34025,11,189.6
